County,date,deaths,cases,Region,Color
Erie,2020-04-06T00:00:00Z,30,1148,Western New York,#979797
Essex,2020-04-06T00:00:00Z,0,9,North Country,#dcc8dc
Franklin,2020-04-06T00:00:00Z,0,10,North Country,#dcc8dc
Fulton,2020-04-06T00:00:00Z,0,11,Mohawk Valley,#ffff00
Genesee,2020-04-06T00:00:00Z,1,23,Western New York,#979797
Greene,2020-04-06T00:00:00Z,0,24,Capital,#00ffff
Hamilton,2020-04-06T00:00:00Z,0,2,North Country,#dcc8dc
Herkimer,2020-04-06T00:00:00Z,3,25,Mohawk Valley,#ffff00
Jefferson,2020-04-06T00:00:00Z,0,33,Tug Hill Seaway,#e978ef
Lewis,2020-04-06T00:00:00Z,0,6,Tug Hill Seaway,#e978ef
Livingston,2020-04-06T00:00:00Z,1,24,Finger Lakes,#b4ffaa
Madison,2020-04-06T00:00:00Z,2,92,Central New York,#d7e1be
Monroe,2020-04-06T00:00:00Z,23,574,Finger Lakes,#b4ffaa
Montgomery,2020-04-06T00:00:00Z,1,15,Mohawk Valley,#ffff00
Nassau,2020-04-06T00:00:00Z,433,15616,Long Island,#ff64a5
New York,2020-04-06T00:00:00Z,436,72181,New York City,#c8ff00
Niagara,2020-04-06T00:00:00Z,0,120,Western New York,#979797
Oneida,2020-04-06T00:00:00Z,2,100,Central New York,#d7e1be
Onondaga,2020-04-06T00:00:00Z,5,377,Central New York,#d7e1be
Ontario,2020-04-06T00:00:00Z,0,32,Finger Lakes,#b4ffaa
Orange,2020-04-06T00:00:00Z,51,3533,Mid-Hudson,#91bdf0
Orleans,2020-04-06T00:00:00Z,0,13,Western New York,#979797
Oswego,2020-04-06T00:00:00Z,0,34,Central New York,#d7e1be
Otsego,2020-04-06T00:00:00Z,2,29,Mohawk Valley,#ffff00
Putnam,2020-04-06T00:00:00Z,12,345,Mid-Hudson,#91bdf0
Rensselaer,2020-04-06T00:00:00Z,2,74,Capital,#00ffff
Rockland,2020-04-06T00:00:00Z,76,5703,Mid-Hudson,#91bdf0
St. Lawrence,2020-04-06T00:00:00Z,0,61,Tug Hill Seaway,#e978ef
Saratoga,2020-04-06T00:00:00Z,0,153,Capital,#00ffff
Schenectady,2020-04-06T00:00:00Z,7,138,Capital,#00ffff
Schoharie,2020-04-06T00:00:00Z,0,11,Mohawk Valley,#ffff00
Schuyler,2020-04-06T00:00:00Z,0,4,Finger Lakes,#b4ffaa
Seneca,2020-04-06T00:00:00Z,0,9,Finger Lakes,#b4ffaa
Steuben,2020-04-06T00:00:00Z,1,75,Finger Lakes,#b4ffaa
Suffolk,2020-04-06T00:00:00Z,236,14185,Long Island,#ff64a5
Sullivan,2020-04-06T00:00:00Z,7,253,Mid-Hudson,#91bdf0
Tioga,2020-04-06T00:00:00Z,0,8,Southern Tier,#ffd900
Tompkins,2020-04-06T00:00:00Z,0,102,Southern Tier,#ffd900
Ulster,2020-04-06T00:00:00Z,4,382,Mid-Hudson,#91bdf0
Warren,2020-04-06T00:00:00Z,1,26,North Country,#dcc8dc
Washington,2020-04-06T00:00:00Z,1,19,North Country,#dcc8dc
Wayne,2020-04-06T00:00:00Z,0,34,Finger Lakes,#b4ffaa
Westchester,2020-04-06T00:00:00Z,233,14294,Mid-Hudson,#91bdf0
Wyoming,2020-04-06T00:00:00Z,1,23,Western New York,#979797
New York State,2020-04-07T00:00:00Z,7268,139875,New York State,#7a7a7a
Albany,2020-04-07T00:00:00Z,9,333,Capital,#00ffff
Allegany,2020-04-07T00:00:00Z,1,17,Western New York,#979797
Broome,2020-04-07T00:00:00Z,4,86,Southern Tier,#ffd900
Cattaraugus,2020-04-07T00:00:00Z,0,13,Western New York,#979797
Cayuga,2020-04-07T00:00:00Z,1,14,Central New York,#d7e1be
Chautauqua,2020-04-07T00:00:00Z,1,18,Western New York,#979797
Chemung,2020-04-07T00:00:00Z,0,49,Finger Lakes,#b4ffaa
Chenango,2020-04-07T00:00:00Z,0,51,Southern Tier,#ffd900
Clinton,2020-04-07T00:00:00Z,0,37,North Country,#dcc8dc
Columbia,2020-04-07T00:00:00Z,3,72,Capital,#00ffff
Cortland,2020-04-07T00:00:00Z,0,16,Central New York,#d7e1be
Delaware,2020-04-07T00:00:00Z,1,36,Southern Tier,#ffd900
Dutchess,2020-04-07T00:00:00Z,15,1249,Mid-Hudson,#91bdf0
Erie,2020-04-07T00:00:00Z,39,1234,Western New York,#979797
Essex,2020-04-07T00:00:00Z,0,9,North Country,#dcc8dc
Franklin,2020-04-07T00:00:00Z,0,10,North Country,#dcc8dc
Fulton,2020-04-07T00:00:00Z,0,13,Mohawk Valley,#ffff00
Genesee,2020-04-07T00:00:00Z,1,33,Western New York,#979797
Greene,2020-04-07T00:00:00Z,0,24,Capital,#00ffff
Hamilton,2020-04-07T00:00:00Z,0,2,North Country,#dcc8dc
Herkimer,2020-04-07T00:00:00Z,3,27,Mohawk Valley,#ffff00
Jefferson,2020-04-07T00:00:00Z,0,39,Tug Hill Seaway,#e978ef
Lewis,2020-04-07T00:00:00Z,0,6,Tug Hill Seaway,#e978ef
Livingston,2020-04-07T00:00:00Z,1,24,Finger Lakes,#b4ffaa
Madison,2020-04-07T00:00:00Z,2,92,Central New York,#d7e1be
Monroe,2020-04-07T00:00:00Z,25,596,Finger Lakes,#b4ffaa
Montgomery,2020-04-07T00:00:00Z,1,18,Mohawk Valley,#ffff00
Nassau,2020-04-07T00:00:00Z,500,16610,Long Island,#ff64a5
New York,2020-04-07T00:00:00Z,513,76876,New York City,#c8ff00
Niagara,2020-04-07T00:00:00Z,0,126,Western New York,#979797
Oneida,2020-04-07T00:00:00Z,2,118,Central New York,#d7e1be
Onondaga,2020-04-07T00:00:00Z,5,397,Central New York,#d7e1be
Ontario,2020-04-07T00:00:00Z,0,33,Finger Lakes,#b4ffaa
Orange,2020-04-07T00:00:00Z,53,3829,Mid-Hudson,#91bdf0
Orleans,2020-04-07T00:00:00Z,0,15,Western New York,#979797
Oswego,2020-04-07T00:00:00Z,2,34,Central New York,#d7e1be
Otsego,2020-04-07T00:00:00Z,2,34,Mohawk Valley,#ffff00
Putnam,2020-04-07T00:00:00Z,13,402,Mid-Hudson,#91bdf0
Rensselaer,2020-04-07T00:00:00Z,2,88,Capital,#00ffff
Rockland,2020-04-07T00:00:00Z,90,5990,Mid-Hudson,#91bdf0
St. Lawrence,2020-04-07T00:00:00Z,0,61,Tug Hill Seaway,#e978ef
Saratoga,2020-04-07T00:00:00Z,1,155,Capital,#00ffff
Schenectady,2020-04-07T00:00:00Z,8,145,Capital,#00ffff
Schoharie,2020-04-07T00:00:00Z,0,12,Mohawk Valley,#ffff00
Schuyler,2020-04-07T00:00:00Z,0,4,Finger Lakes,#b4ffaa
Seneca,2020-04-07T00:00:00Z,0,10,Finger Lakes,#b4ffaa
Steuben,2020-04-07T00:00:00Z,1,75,Finger Lakes,#b4ffaa
Suffolk,2020-04-07T00:00:00Z,263,15561,Long Island,#ff64a5
Sullivan,2020-04-07T00:00:00Z,7,270,Mid-Hudson,#91bdf0
Tioga,2020-04-07T00:00:00Z,0,8,Southern Tier,#ffd900
Tompkins,2020-04-07T00:00:00Z,0,103,Southern Tier,#ffd900
Ulster,2020-04-07T00:00:00Z,5,398,Mid-Hudson,#91bdf0
Warren,2020-04-07T00:00:00Z,1,31,North Country,#dcc8dc
Washington,2020-04-07T00:00:00Z,1,19,North Country,#dcc8dc
Wayne,2020-04-07T00:00:00Z,0,35,Finger Lakes,#b4ffaa
Westchester,2020-04-07T00:00:00Z,283,14294,Mid-Hudson,#91bdf0
Wyoming,2020-04-07T00:00:00Z,1,23,Western New York,#979797
New York State,2020-04-08T00:00:00Z,8195,151061,New York State,#7a7a7a
Albany,2020-04-08T00:00:00Z,9,342,Capital,#00ffff
Allegany,2020-04-08T00:00:00Z,1,21,Western New York,#979797
Broome,2020-04-08T00:00:00Z,5,93,Southern Tier,#ffd900
Cattaraugus,2020-04-08T00:00:00Z,0,15,Western New York,#979797
Cayuga,2020-04-08T00:00:00Z,1,14,Central New York,#d7e1be
Chautauqua,2020-04-08T00:00:00Z,1,18,Western New York,#979797
Chemung,2020-04-08T00:00:00Z,1,55,Finger Lakes,#b4ffaa
Chenango,2020-04-08T00:00:00Z,0,53,Southern Tier,#ffd900
Clinton,2020-04-08T00:00:00Z,0,39,North Country,#dcc8dc
Columbia,2020-04-08T00:00:00Z,4,76,Capital,#00ffff
Cortland,2020-04-08T00:00:00Z,0,16,Central New York,#d7e1be
Delaware,2020-04-08T00:00:00Z,1,37,Southern Tier,#ffd900
Dutchess,2020-04-08T00:00:00Z,15,1395,Mid-Hudson,#91bdf0
Erie,2020-04-08T00:00:00Z,39,1335,Western New York,#979797
Essex,2020-04-08T00:00:00Z,0,9,North Country,#dcc8dc
Franklin,2020-04-08T00:00:00Z,0,10,North Country,#dcc8dc
Fulton,2020-04-08T00:00:00Z,1,14,Mohawk Valley,#ffff00
Genesee,2020-04-08T00:00:00Z,1,47,Western New York,#979797
Greene,2020-04-08T00:00:00Z,0,25,Capital,#00ffff
Hamilton,2020-04-08T00:00:00Z,0,2,North Country,#dcc8dc
Herkimer,2020-04-08T00:00:00Z,3,29,Mohawk Valley,#ffff00
Jefferson,2020-04-08T00:00:00Z,0,40,Tug Hill Seaway,#e978ef
Lewis,2020-04-08T00:00:00Z,0,6,Tug Hill Seaway,#e978ef
Livingston,2020-04-08T00:00:00Z,1,29,Finger Lakes,#b4ffaa
Madison,2020-04-08T00:00:00Z,2,92,Central New York,#d7e1be
Monroe,2020-04-08T00:00:00Z,25,651,Finger Lakes,#b4ffaa
Montgomery,2020-04-08T00:00:00Z,1,18,Mohawk Valley,#ffff00
Nassau,2020-04-08T00:00:00Z,566,18548,Long Island,#ff64a5
New York,2020-04-08T00:00:00Z,604,81803,New York City,#c8ff00
Niagara,2020-04-08T00:00:00Z,1,155,Western New York,#979797
Oneida,2020-04-08T00:00:00Z,2,125,Central New York,#d7e1be
Onondaga,2020-04-08T00:00:00Z,6,422,Central New York,#d7e1be
Ontario,2020-04-08T00:00:00Z,0,39,Finger Lakes,#b4ffaa
Orange,2020-04-08T00:00:00Z,63,4075,Mid-Hudson,#91bdf0
Orleans,2020-04-08T00:00:00Z,0,16,Western New York,#979797
Oswego,2020-04-08T00:00:00Z,2,34,Central New York,#d7e1be
Otsego,2020-04-08T00:00:00Z,2,38,Mohawk Valley,#ffff00
Putnam,2020-04-08T00:00:00Z,15,427,Mid-Hudson,#91bdf0
Rensselaer,2020-04-08T00:00:00Z,5,88,Capital,#00ffff
Rockland,2020-04-08T00:00:00Z,98,6413,Mid-Hudson,#91bdf0
St. Lawrence,2020-04-08T00:00:00Z,0,78,Tug Hill Seaway,#e978ef
Saratoga,2020-04-08T00:00:00Z,1,162,Capital,#00ffff
Schenectady,2020-04-08T00:00:00Z,8,149,Capital,#00ffff
Schoharie,2020-04-08T00:00:00Z,0,12,Mohawk Valley,#ffff00
Schuyler,2020-04-08T00:00:00Z,0,4,Finger Lakes,#b4ffaa
Seneca,2020-04-08T00:00:00Z,0,12,Finger Lakes,#b4ffaa
Steuben,2020-04-08T00:00:00Z,3,87,Finger Lakes,#b4ffaa
Suffolk,2020-04-08T00:00:00Z,323,17008,Long Island,#ff64a5
Sullivan,2020-04-08T00:00:00Z,7,296,Mid-Hudson,#91bdf0
Tioga,2020-04-08T00:00:00Z,0,15,Southern Tier,#ffd900
Tompkins,2020-04-08T00:00:00Z,0,105,Southern Tier,#ffd900
Ulster,2020-04-08T00:00:00Z,6,462,Mid-Hudson,#91bdf0
Warren,2020-04-08T00:00:00Z,1,33,North Country,#dcc8dc
Washington,2020-04-08T00:00:00Z,1,20,North Country,#dcc8dc
Wayne,2020-04-08T00:00:00Z,0,39,Finger Lakes,#b4ffaa
Westchester,2020-04-08T00:00:00Z,315,15887,Mid-Hudson,#91bdf0
Wyoming,2020-04-08T00:00:00Z,1,27,Western New York,#979797
New York State,2020-04-09T00:00:00Z,9148,161779,New York State,#7a7a7a
Albany,2020-04-09T00:00:00Z,12,379,Capital,#00ffff
Allegany,2020-04-09T00:00:00Z,1,22,Western New York,#979797
Broome,2020-04-09T00:00:00Z,6,105,Southern Tier,#ffd900
Cattaraugus,2020-04-09T00:00:00Z,0,17,Western New York,#979797
Cayuga,2020-04-09T00:00:00Z,1,16,Central New York,#d7e1be
Chautauqua,2020-04-09T00:00:00Z,1,22,Western New York,#979797
Chemung,2020-04-09T00:00:00Z,2,59,Finger Lakes,#b4ffaa
Chenango,2020-04-09T00:00:00Z,0,55,Southern Tier,#ffd900
Clinton,2020-04-09T00:00:00Z,0,40,North Country,#dcc8dc
Columbia,2020-04-09T00:00:00Z,4,83,Capital,#00ffff
Cortland,2020-04-09T00:00:00Z,0,16,Central New York,#d7e1be
Delaware,2020-04-09T00:00:00Z,1,37,Southern Tier,#ffd900
Dutchess,2020-04-09T00:00:00Z,21,1493,Mid-Hudson,#91bdf0
Erie,2020-04-09T00:00:00Z,46,1432,Western New York,#979797
Essex,2020-04-09T00:00:00Z,0,8,North Country,#dcc8dc
Franklin,2020-04-09T00:00:00Z,0,11,North Country,#dcc8dc
Fulton,2020-04-09T00:00:00Z,1,15,Mohawk Valley,#ffff00
Genesee,2020-04-09T00:00:00Z,1,56,Western New York,#979797
Greene,2020-04-09T00:00:00Z,0,31,Capital,#00ffff
Hamilton,2020-04-09T00:00:00Z,0,3,North Country,#dcc8dc
Herkimer,2020-04-09T00:00:00Z,3,32,Mohawk Valley,#ffff00
Jefferson,2020-04-09T00:00:00Z,0,42,Tug Hill Seaway,#e978ef
Lewis,2020-04-09T00:00:00Z,0,6,Tug Hill Seaway,#e978ef
Livingston,2020-04-09T00:00:00Z,1,29,Finger Lakes,#b4ffaa
Madison,2020-04-09T00:00:00Z,2,102,Central New York,#d7e1be
Monroe,2020-04-09T00:00:00Z,31,698,Finger Lakes,#b4ffaa
Montgomery,2020-04-09T00:00:00Z,1,28,Mohawk Valley,#ffff00
Nassau,2020-04-09T00:00:00Z,788,20140,Long Island,#ff64a5
New York,2020-04-09T00:00:00Z,674,87028,New York City,#c8ff00
Niagara,2020-04-09T00:00:00Z,1,155,Western New York,#979797
Oneida,2020-04-09T00:00:00Z,2,158,Central New York,#d7e1be
Onondaga,2020-04-09T00:00:00Z,10,422,Central New York,#d7e1be
Ontario,2020-04-09T00:00:00Z,0,43,Finger Lakes,#b4ffaa
Orange,2020-04-09T00:00:00Z,79,4309,Mid-Hudson,#91bdf0
Orleans,2020-04-09T00:00:00Z,0,22,Western New York,#979797
Oswego,2020-04-09T00:00:00Z,2,36,Central New York,#d7e1be
Otsego,2020-04-09T00:00:00Z,2,39,Mohawk Valley,#ffff00
Putnam,2020-04-09T00:00:00Z,16,456,Mid-Hudson,#91bdf0
Rensselaer,2020-04-09T00:00:00Z,5,102,Capital,#00ffff
Rockland,2020-04-09T00:00:00Z,117,6665,Mid-Hudson,#91bdf0
St. Lawrence,2020-04-09T00:00:00Z,1,82,Tug Hill Seaway,#e978ef
Saratoga,2020-04-09T00:00:00Z,1,172,Capital,#00ffff
Schenectady,2020-04-09T00:00:00Z,9,167,Capital,#00ffff
Schoharie,2020-04-09T00:00:00Z,0,12,Mohawk Valley,#ffff00
Schuyler,2020-04-09T00:00:00Z,0,4,Finger Lakes,#b4ffaa
Seneca,2020-04-09T00:00:00Z,0,15,Finger Lakes,#b4ffaa
Steuben,2020-04-09T00:00:00Z,3,92,Finger Lakes,#b4ffaa
Suffolk,2020-04-09T00:00:00Z,369,18803,Long Island,#ff64a5
Sullivan,2020-04-09T00:00:00Z,7,296,Mid-Hudson,#91bdf0
Tioga,2020-04-09T00:00:00Z,0,17,Southern Tier,#ffd900
Tompkins,2020-04-09T00:00:00Z,0,107,Southern Tier,#ffd900
Ulster,2020-04-09T00:00:00Z,6,462,Mid-Hudson,#91bdf0
Warren,2020-04-09T00:00:00Z,1,40,North Country,#dcc8dc
Washington,2020-04-09T00:00:00Z,1,25,North Country,#dcc8dc
Wayne,2020-04-09T00:00:00Z,0,39,Finger Lakes,#b4ffaa
Westchester,2020-04-09T00:00:00Z,389,17004,Mid-Hudson,#91bdf0
Wyoming,2020-04-09T00:00:00Z,1,29,Western New York,#979797
New York State,2020-04-10T00:00:00Z,10394,172348,New York State,#7a7a7a
Albany,2020-04-10T00:00:00Z,14,426,Capital,#00ffff
Allegany,2020-04-10T00:00:00Z,1,26,Western New York,#979797
Broome,2020-04-10T00:00:00Z,6,112,Southern Tier,#ffd900
Cattaraugus,2020-04-10T00:00:00Z,0,18,Western New York,#979797
Cayuga,2020-04-10T00:00:00Z,1,27,Central New York,#d7e1be
Chautauqua,2020-04-10T00:00:00Z,1,22,Western New York,#979797
Chemung,2020-04-10T00:00:00Z,2,59,Finger Lakes,#b4ffaa
Chenango,2020-04-10T00:00:00Z,0,60,Southern Tier,#ffd900
Clinton,2020-04-10T00:00:00Z,0,43,North Country,#dcc8dc
Columbia,2020-04-10T00:00:00Z,4,84,Capital,#00ffff
Cortland,2020-04-10T00:00:00Z,1,17,Central New York,#d7e1be
Delaware,2020-04-10T00:00:00Z,1,39,Southern Tier,#ffd900
Dutchess,2020-04-10T00:00:00Z,22,1598,Mid-Hudson,#91bdf0
Erie,2020-04-10T00:00:00Z,54,1498,Western New York,#979797
Essex,2020-04-10T00:00:00Z,0,10,North Country,#dcc8dc
Franklin,2020-04-10T00:00:00Z,0,11,North Country,#dcc8dc
Fulton,2020-04-10T00:00:00Z,2,18,Mohawk Valley,#ffff00
Genesee,2020-04-10T00:00:00Z,1,65,Western New York,#979797
Greene,2020-04-10T00:00:00Z,0,34,Capital,#00ffff
Hamilton,2020-04-10T00:00:00Z,0,3,North Country,#dcc8dc
Herkimer,2020-04-10T00:00:00Z,3,36,Mohawk Valley,#ffff00
Jefferson,2020-04-10T00:00:00Z,0,43,Tug Hill Seaway,#e978ef
Lewis,2020-04-10T00:00:00Z,0,6,Tug Hill Seaway,#e978ef
Livingston,2020-04-10T00:00:00Z,1,29,Finger Lakes,#b4ffaa
Madison,2020-04-10T00:00:00Z,2,102,Central New York,#d7e1be
Monroe,2020-04-10T00:00:00Z,31,742,Finger Lakes,#b4ffaa
Montgomery,2020-04-10T00:00:00Z,1,29,Mohawk Valley,#ffff00
Nassau,2020-04-10T00:00:00Z,890,21512,Long Island,#ff64a5
New York,2020-04-10T00:00:00Z,731,92384,New York City,#c8ff00
Niagara,2020-04-10T00:00:00Z,1,156,Western New York,#979797
Oneida,2020-04-10T00:00:00Z,2,172,Central New York,#d7e1be
Onondaga,2020-04-10T00:00:00Z,11,456,Central New York,#d7e1be
Ontario,2020-04-10T00:00:00Z,0,51,Finger Lakes,#b4ffaa
Orange,2020-04-10T00:00:00Z,88,4532,Mid-Hudson,#91bdf0
Orleans,2020-04-10T00:00:00Z,0,24,Western New York,#979797
Oswego,2020-04-10T00:00:00Z,2,36,Central New York,#d7e1be
Otsego,2020-04-10T00:00:00Z,2,41,Mohawk Valley,#ffff00
Putnam,2020-04-10T00:00:00Z,18,487,Mid-Hudson,#91bdf0
Rensselaer,2020-04-10T00:00:00Z,5,102,Capital,#00ffff
Rockland,2020-04-10T00:00:00Z,135,7122,Mid-Hudson,#91bdf0
St. Lawrence,2020-04-10T00:00:00Z,1,82,Tug Hill Seaway,#e978ef
Saratoga,2020-04-10T00:00:00Z,5,182,Capital,#00ffff
Schenectady,2020-04-10T00:00:00Z,9,191,Capital,#00ffff
Schoharie,2020-04-10T00:00:00Z,0,12,Mohawk Valley,#ffff00
Schuyler,2020-04-10T00:00:00Z,0,5,Finger Lakes,#b4ffaa
Seneca,2020-04-10T00:00:00Z,0,15,Finger Lakes,#b4ffaa
Steuben,2020-04-10T00:00:00Z,3,117,Finger Lakes,#b4ffaa
Suffolk,2020-04-10T00:00:00Z,414,20320,Long Island,#ff64a5
Sullivan,2020-04-10T00:00:00Z,7,318,Mid-Hudson,#91bdf0
Tioga,2020-04-10T00:00:00Z,0,18,Southern Tier,#ffd900
Tompkins,2020-04-10T00:00:00Z,0,107,Southern Tier,#ffd900
Ulster,2020-04-10T00:00:00Z,9,530,Mid-Hudson,#91bdf0
Warren,2020-04-10T00:00:00Z,1,43,North Country,#dcc8dc
Washington,2020-04-10T00:00:00Z,1,26,North Country,#dcc8dc
Wayne,2020-04-10T00:00:00Z,0,41,Finger Lakes,#b4ffaa
Westchester,2020-04-10T00:00:00Z,389,18077,Mid-Hudson,#91bdf0
Wyoming,2020-04-10T00:00:00Z,1,30,Western New York,#979797
Yates,2020-04-10T00:00:00Z,0,2,Finger Lakes,#b4ffaa
New York State,2020-04-11T00:00:00Z,11112,181026,New York State,#7a7a7a
Albany,2020-04-11T00:00:00Z,16,446,Capital,#00ffff
Allegany,2020-04-11T00:00:00Z,1,26,Western New York,#979797
Broome,2020-04-11T00:00:00Z,6,117,Southern Tier,#ffd900
Cattaraugus,2020-04-11T00:00:00Z,0,19,Western New York,#979797
Cayuga,2020-04-11T00:00:00Z,1,28,Central New York,#d7e1be
Chautauqua,2020-04-11T00:00:00Z,1,22,Western New York,#979797
Chemung,2020-04-11T00:00:00Z,2,60,Finger Lakes,#b4ffaa
Chenango,2020-04-11T00:00:00Z,0,61,Southern Tier,#ffd900
Clinton,2020-04-11T00:00:00Z,0,43,North Country,#dcc8dc
Columbia,2020-04-11T00:00:00Z,6,87,Capital,#00ffff
Cortland,2020-04-11T00:00:00Z,1,17,Central New York,#d7e1be
Delaware,2020-04-11T00:00:00Z,1,39,Southern Tier,#ffd900
Dutchess,2020-04-11T00:00:00Z,23,1744,Mid-Hudson,#91bdf0
Erie,2020-04-11T00:00:00Z,57,1506,Western New York,#979797
Essex,2020-04-11T00:00:00Z,0,12,North Country,#dcc8dc
Franklin,2020-04-11T00:00:00Z,0,11,North Country,#dcc8dc
Fulton,2020-04-11T00:00:00Z,2,21,Mohawk Valley,#ffff00
Genesee,2020-04-11T00:00:00Z,1,67,Western New York,#979797
Greene,2020-04-11T00:00:00Z,0,37,Capital,#00ffff
Hamilton,2020-04-11T00:00:00Z,0,3,North Country,#dcc8dc
Herkimer,2020-04-11T00:00:00Z,3,37,Mohawk Valley,#ffff00
Jefferson,2020-04-11T00:00:00Z,0,44,Tug Hill Seaway,#e978ef
Lewis,2020-04-11T00:00:00Z,3,6,Tug Hill Seaway,#e978ef
Livingston,2020-04-11T00:00:00Z,1,30,Finger Lakes,#b4ffaa
Madison,2020-04-11T00:00:00Z,2,102,Central New York,#d7e1be
Monroe,2020-04-11T00:00:00Z,39,767,Finger Lakes,#b4ffaa
Montgomery,2020-04-11T00:00:00Z,1,29,Mohawk Valley,#ffff00
Nassau,2020-04-11T00:00:00Z,965,22584,Long Island,#ff64a5
New York,2020-04-11T00:00:00Z,799,98308,New York City,#c8ff00
Niagara,2020-04-11T00:00:00Z,2,167,Western New York,#979797
Oneida,2020-04-11T00:00:00Z,2,181,Central New York,#d7e1be
Onondaga,2020-04-11T00:00:00Z,12,456,Central New York,#d7e1be
Ontario,2020-04-11T00:00:00Z,0,56,Finger Lakes,#b4ffaa
Orange,2020-04-11T00:00:00Z,96,4847,Mid-Hudson,#91bdf0
Orleans,2020-04-11T00:00:00Z,0,24,Western New York,#979797
Oswego,2020-04-11T00:00:00Z,2,37,Central New York,#d7e1be
Otsego,2020-04-11T00:00:00Z,2,43,Mohawk Valley,#ffff00
Putnam,2020-04-11T00:00:00Z,20,494,Mid-Hudson,#91bdf0
Rensselaer,2020-04-11T00:00:00Z,5,102,Capital,#00ffff
Rockland,2020-04-11T00:00:00Z,153,7477,Mid-Hudson,#91bdf0
St. Lawrence,2020-04-11T00:00:00Z,1,82,Tug Hill Seaway,#e978ef
Saratoga,2020-04-11T00:00:00Z,5,187,Capital,#00ffff
Schenectady,2020-04-11T00:00:00Z,10,194,Capital,#00ffff
Schoharie,2020-04-11T00:00:00Z,0,12,Mohawk Valley,#ffff00
Schuyler,2020-04-11T00:00:00Z,0,5,Finger Lakes,#b4ffaa
Seneca,2020-04-11T00:00:00Z,1,16,Finger Lakes,#b4ffaa
Steuben,2020-04-11T00:00:00Z,5,117,Finger Lakes,#b4ffaa
Suffolk,2020-04-11T00:00:00Z,458,20321,Long Island,#ff64a5
Sullivan,2020-04-11T00:00:00Z,7,340,Mid-Hudson,#91bdf0
Tioga,2020-04-11T00:00:00Z,0,19,Southern Tier,#ffd900
Tompkins,2020-04-11T00:00:00Z,0,108,Southern Tier,#ffd900
Ulster,2020-04-11T00:00:00Z,10,589,Mid-Hudson,#91bdf0
Warren,2020-04-11T00:00:00Z,1,44,North Country,#dcc8dc
Washington,2020-04-11T00:00:00Z,1,31,North Country,#dcc8dc
Wayne,2020-04-11T00:00:00Z,0,42,Finger Lakes,#b4ffaa
Westchester,2020-04-11T00:00:00Z,461,18729,Mid-Hudson,#91bdf0
Wyoming,2020-04-11T00:00:00Z,1,31,Western New York,#979797
Yates,2020-04-11T00:00:00Z,0,2,Finger Lakes,#b4ffaa
New York State,2020-04-12T00:00:00Z,12050,189033,New York State,#7a7a7a
Albany,2020-04-12T00:00:00Z,16,478,Capital,#00ffff
Allegany,2020-04-12T00:00:00Z,1,26,Western New York,#979797
Broome,2020-04-12T00:00:00Z,6,126,Southern Tier,#ffd900
Cattaraugus,2020-04-12T00:00:00Z,0,28,Western New York,#979797
Cayuga,2020-04-12T00:00:00Z,1,31,Central New York,#d7e1be
Chautauqua,2020-04-12T00:00:00Z,1,23,Western New York,#979797
Chemung,2020-04-12T00:00:00Z,2,60,Finger Lakes,#b4ffaa
Chenango,2020-04-12T00:00:00Z,0,63,Southern Tier,#ffd900
Clinton,2020-04-12T00:00:00Z,2,43,North Country,#dcc8dc
Columbia,2020-04-12T00:00:00Z,7,87,Capital,#00ffff
Cortland,2020-04-12T00:00:00Z,1,21,Central New York,#d7e1be
Delaware,2020-04-12T00:00:00Z,1,39,Southern Tier,#ffd900
Dutchess,2020-04-12T00:00:00Z,26,1838,Mid-Hudson,#91bdf0
Erie,2020-04-12T00:00:00Z,70,1571,Western New York,#979797
Essex,2020-04-12T00:00:00Z,0,12,North Country,#dcc8dc
Franklin,2020-04-12T00:00:00Z,0,12,North Country,#dcc8dc
Fulton,2020-04-12T00:00:00Z,2,21,Mohawk Valley,#ffff00
Genesee,2020-04-12T00:00:00Z,1,70,Western New York,#979797
Greene,2020-04-12T00:00:00Z,0,44,Capital,#00ffff
Hamilton,2020-04-12T00:00:00Z,0,3,North Country,#dcc8dc
Herkimer,2020-04-12T00:00:00Z,3,37,Mohawk Valley,#ffff00
Jefferson,2020-04-12T00:00:00Z,0,46,Tug Hill Seaway,#e978ef
Lewis,2020-04-12T00:00:00Z,3,6,Tug Hill Seaway,#e978ef
Livingston,2020-04-12T00:00:00Z,1,34,Finger Lakes,#b4ffaa
Madison,2020-04-12T00:00:00Z,2,105,Central New York,#d7e1be
Monroe,2020-04-12T00:00:00Z,39,798,Finger Lakes,#b4ffaa
Montgomery,2020-04-12T00:00:00Z,2,29,Mohawk Valley,#ffff00
Nassau,2020-04-12T00:00:00Z,1030,23553,Long Island,#ff64a5
New York,2020-04-12T00:00:00Z,849,103208,New York City,#c8ff00
Niagara,2020-04-12T00:00:00Z,5,194,Western New York,#979797
Oneida,2020-04-12T00:00:00Z,2,195,Central New York,#d7e1be
Onondaga,2020-04-12T00:00:00Z,13,494,Central New York,#d7e1be
Ontario,2020-04-12T00:00:00Z,1,57,Finger Lakes,#b4ffaa
Orange,2020-04-12T00:00:00Z,111,5027,Mid-Hudson,#91bdf0
Orleans,2020-04-12T00:00:00Z,0,25,Western New York,#979797
Oswego,2020-04-12T00:00:00Z,2,42,Central New York,#d7e1be
Otsego,2020-04-12T00:00:00Z,2,43,Mohawk Valley,#ffff00
