County,date,deaths,cases,Region,Color
Westchester,2020-03-14T00:00:00Z,0,172,Mid-Hudson,#91bdf0
New York State,2020-03-15T00:00:00Z,7,615,New York State,#7a7a7a
Albany,2020-03-15T00:00:00Z,0,7,Capital,#00ffff
Dutchess,2020-03-15T00:00:00Z,0,4,Mid-Hudson,#91bdf0
Erie,2020-03-15T00:00:00Z,0,3,Western New York,#979797
Monroe,2020-03-15T00:00:00Z,0,2,Finger Lakes,#b4ffaa
Nassau,2020-03-15T00:00:00Z,0,79,Long Island,#ff64a5
New York,2020-03-15T00:00:00Z,4,269,New York City,#c8ff00
Orange,2020-03-15T00:00:00Z,0,6,Mid-Hudson,#91bdf0
Rockland,2020-03-15T00:00:00Z,1,12,Mid-Hudson,#91bdf0
Saratoga,2020-03-15T00:00:00Z,0,3,Capital,#00ffff
Suffolk,2020-03-15T00:00:00Z,0,41,Long Island,#ff64a5
Ulster,2020-03-15T00:00:00Z,0,5,Mid-Hudson,#91bdf0
Westchester,2020-03-15T00:00:00Z,0,178,Mid-Hudson,#91bdf0
New York State,2020-03-16T00:00:00Z,14,967,New York State,#7a7a7a
Albany,2020-03-16T00:00:00Z,0,15,Capital,#00ffff
Allegany,2020-03-16T00:00:00Z,0,2,Western New York,#979797
Dutchess,2020-03-16T00:00:00Z,0,10,Mid-Hudson,#91bdf0
Erie,2020-03-16T00:00:00Z,0,7,Western New York,#979797
Greene,2020-03-16T00:00:00Z,0,2,Capital,#00ffff
Monroe,2020-03-16T00:00:00Z,0,11,Finger Lakes,#b4ffaa
Nassau,2020-03-16T00:00:00Z,1,109,Long Island,#ff64a5
New York,2020-03-16T00:00:00Z,0,463,New York City,#c8ff00
Orange,2020-03-16T00:00:00Z,0,11,Mid-Hudson,#91bdf0
Putnam,2020-03-16T00:00:00Z,0,2,Mid-Hudson,#91bdf0
Rockland,2020-03-16T00:00:00Z,1,16,Mid-Hudson,#91bdf0
Saratoga,2020-03-16T00:00:00Z,0,5,Capital,#00ffff
Schenectady,2020-03-16T00:00:00Z,0,4,Capital,#00ffff
Suffolk,2020-03-16T00:00:00Z,2,74,Long Island,#ff64a5
Tompkins,2020-03-16T00:00:00Z,0,2,Southern Tier,#ffd900
Ulster,2020-03-16T00:00:00Z,0,7,Mid-Hudson,#91bdf0
Westchester,2020-03-16T00:00:00Z,0,220,Mid-Hudson,#91bdf0
New York State,2020-03-17T00:00:00Z,22,1578,New York State,#7a7a7a
Albany,2020-03-17T00:00:00Z,0,25,Capital,#00ffff
Allegany,2020-03-17T00:00:00Z,0,2,Western New York,#979797
Dutchess,2020-03-17T00:00:00Z,0,16,Mid-Hudson,#91bdf0
Erie,2020-03-17T00:00:00Z,0,11,Western New York,#979797
Greene,2020-03-17T00:00:00Z,0,2,Capital,#00ffff
Monroe,2020-03-17T00:00:00Z,1,14,Finger Lakes,#b4ffaa
Nassau,2020-03-17T00:00:00Z,1,140,Long Island,#ff64a5
