NAME,date,deaths
United States,2020-01-22T00:00:00Z,0
Alabama,2020-01-22T00:00:00Z,0
Alaska,2020-01-22T00:00:00Z,0
American Samoa,2020-01-22T00:00:00Z,0
Arizona,2020-01-22T00:00:00Z,0
Arkansas,2020-01-22T00:00:00Z,0
California,2020-01-22T00:00:00Z,0
Colorado,2020-01-22T00:00:00Z,0
Connecticut,2020-01-22T00:00:00Z,0
Delaware,2020-01-22T00:00:00Z,0
District of Columbia,2020-01-22T00:00:00Z,0
Florida,2020-01-22T00:00:00Z,0
Georgia,2020-01-22T00:00:00Z,0
Guam,2020-01-22T00:00:00Z,0
Hawaii,2020-01-22T00:00:00Z,0
Idaho,2020-01-22T00:00:00Z,0
Illinois,2020-01-22T00:00:00Z,0
Indiana,2020-01-22T00:00:00Z,0
Iowa,2020-01-22T00:00:00Z,0
Kansas,2020-01-22T00:00:00Z,0
Kentucky,2020-01-22T00:00:00Z,0
Louisiana,2020-01-22T00:00:00Z,0
Maine,2020-01-22T00:00:00Z,0
Maryland,2020-01-22T00:00:00Z,0
Massachusetts,2020-01-22T00:00:00Z,0
Michigan,2020-01-22T00:00:00Z,0
Minnesota,2020-01-22T00:00:00Z,0
Mississippi,2020-01-22T00:00:00Z,0
Missouri,2020-01-22T00:00:00Z,0
Montana,2020-01-22T00:00:00Z,0
Nebraska,2020-01-22T00:00:00Z,0
Nevada,2020-01-22T00:00:00Z,0
New Hampshire,2020-01-22T00:00:00Z,0
New Jersey,2020-01-22T00:00:00Z,0
New Mexico,2020-01-22T00:00:00Z,0
New York,2020-01-22T00:00:00Z,0
North Carolina,2020-01-22T00:00:00Z,0
North Dakota,2020-01-22T00:00:00Z,0
Ohio,2020-01-22T00:00:00Z,0
Oklahoma,2020-01-22T00:00:00Z,0
Oregon,2020-01-22T00:00:00Z,0
Pennsylvania,2020-01-22T00:00:00Z,0
Puerto Rico,2020-01-22T00:00:00Z,0
Rhode Island,2020-01-22T00:00:00Z,0
South Carolina,2020-01-22T00:00:00Z,0
South Dakota,2020-01-22T00:00:00Z,0
Tennessee,2020-01-22T00:00:00Z,0
Texas,2020-01-22T00:00:00Z,0
Utah,2020-01-22T00:00:00Z,0
Vermont,2020-01-22T00:00:00Z,0
Virginia,2020-01-22T00:00:00Z,0
Washington,2020-01-22T00:00:00Z,0
West Virginia,2020-01-22T00:00:00Z,0
Wisconsin,2020-01-22T00:00:00Z,0
Wyoming,2020-01-22T00:00:00Z,0
United States,2020-01-23T00:00:00Z,0
Alabama,2020-01-23T00:00:00Z,0
Alaska,2020-01-23T00:00:00Z,0
American Samoa,2020-01-23T00:00:00Z,0
Arizona,2020-01-23T00:00:00Z,0
Arkansas,2020-01-23T00:00:00Z,0
California,2020-01-23T00:00:00Z,0
Colorado,2020-01-23T00:00:00Z,0
Connecticut,2020-01-23T00:00:00Z,0
Delaware,2020-01-23T00:00:00Z,0
District of Columbia,2020-01-23T00:00:00Z,0
Florida,2020-01-23T00:00:00Z,0
Georgia,2020-01-23T00:00:00Z,0
Guam,2020-01-23T00:00:00Z,0
Hawaii,2020-01-23T00:00:00Z,0
Idaho,2020-01-23T00:00:00Z,0
Illinois,2020-01-23T00:00:00Z,0
Indiana,2020-01-23T00:00:00Z,0
Iowa,2020-01-23T00:00:00Z,0
Kansas,2020-01-23T00:00:00Z,0
Kentucky,2020-01-23T00:00:00Z,0
Louisiana,2020-01-23T00:00:00Z,0
Maine,2020-01-23T00:00:00Z,0
Maryland,2020-01-23T00:00:00Z,0
Massachusetts,2020-01-23T00:00:00Z,0
Michigan,2020-01-23T00:00:00Z,0
Minnesota,2020-01-23T00:00:00Z,0
Mississippi,2020-01-23T00:00:00Z,0
Missouri,2020-01-23T00:00:00Z,0
Montana,2020-01-23T00:00:00Z,0
Nebraska,2020-01-23T00:00:00Z,0
Nevada,2020-01-23T00:00:00Z,0
New Hampshire,2020-01-23T00:00:00Z,0
New Jersey,2020-01-23T00:00:00Z,0
New Mexico,2020-01-23T00:00:00Z,0
New York,2020-01-23T00:00:00Z,0
North Carolina,2020-01-23T00:00:00Z,0
North Dakota,2020-01-23T00:00:00Z,0
Ohio,2020-01-23T00:00:00Z,0
Oklahoma,2020-01-23T00:00:00Z,0
Oregon,2020-01-23T00:00:00Z,0
Pennsylvania,2020-01-23T00:00:00Z,0
Puerto Rico,2020-01-23T00:00:00Z,0
Rhode Island,2020-01-23T00:00:00Z,0
South Carolina,2020-01-23T00:00:00Z,0
South Dakota,2020-01-23T00:00:00Z,0
Tennessee,2020-01-23T00:00:00Z,0
Texas,2020-01-23T00:00:00Z,0
Utah,2020-01-23T00:00:00Z,0
Vermont,2020-01-23T00:00:00Z,0
Virginia,2020-01-23T00:00:00Z,0
Washington,2020-01-23T00:00:00Z,0
West Virginia,2020-01-23T00:00:00Z,0
Wisconsin,2020-01-23T00:00:00Z,0
Wyoming,2020-01-23T00:00:00Z,0
United States,2020-01-24T00:00:00Z,0
Alabama,2020-01-24T00:00:00Z,0
Alaska,2020-01-24T00:00:00Z,0
American Samoa,2020-01-24T00:00:00Z,0
Arizona,2020-01-24T00:00:00Z,0
Arkansas,2020-01-24T00:00:00Z,0
California,2020-01-24T00:00:00Z,0
Colorado,2020-01-24T00:00:00Z,0
Connecticut,2020-01-24T00:00:00Z,0
Delaware,2020-01-24T00:00:00Z,0
District of Columbia,2020-01-24T00:00:00Z,0
Florida,2020-01-24T00:00:00Z,0
Georgia,2020-01-24T00:00:00Z,0
Guam,2020-01-24T00:00:00Z,0
Hawaii,2020-01-24T00:00:00Z,0
Idaho,2020-01-24T00:00:00Z,0
Illinois,2020-01-24T00:00:00Z,0
Indiana,2020-01-24T00:00:00Z,0
Iowa,2020-01-24T00:00:00Z,0
Kansas,2020-01-24T00:00:00Z,0
Kentucky,2020-01-24T00:00:00Z,0
Louisiana,2020-01-24T00:00:00Z,0
Maine,2020-01-24T00:00:00Z,0
Maryland,2020-01-24T00:00:00Z,0
Massachusetts,2020-01-24T00:00:00Z,0
Michigan,2020-01-24T00:00:00Z,0
Minnesota,2020-01-24T00:00:00Z,0
Mississippi,2020-01-24T00:00:00Z,0
Missouri,2020-01-24T00:00:00Z,0
Montana,2020-01-24T00:00:00Z,0
Nebraska,2020-01-24T00:00:00Z,0
Nevada,2020-01-24T00:00:00Z,0
New Hampshire,2020-01-24T00:00:00Z,0
New Jersey,2020-01-24T00:00:00Z,0
New Mexico,2020-01-24T00:00:00Z,0
New York,2020-01-24T00:00:00Z,0
North Carolina,2020-01-24T00:00:00Z,0
North Dakota,2020-01-24T00:00:00Z,0
Ohio,2020-01-24T00:00:00Z,0
Oklahoma,2020-01-24T00:00:00Z,0
Oregon,2020-01-24T00:00:00Z,0
Pennsylvania,2020-01-24T00:00:00Z,0
Puerto Rico,2020-01-24T00:00:00Z,0
Rhode Island,2020-01-24T00:00:00Z,0
South Carolina,2020-01-24T00:00:00Z,0
South Dakota,2020-01-24T00:00:00Z,0
Tennessee,2020-01-24T00:00:00Z,0
Texas,2020-01-24T00:00:00Z,0
Utah,2020-01-24T00:00:00Z,0
Vermont,2020-01-24T00:00:00Z,0
Virginia,2020-01-24T00:00:00Z,0
Washington,2020-01-24T00:00:00Z,0
West Virginia,2020-01-24T00:00:00Z,0
Wisconsin,2020-01-24T00:00:00Z,0
Wyoming,2020-01-24T00:00:00Z,0
United States,2020-01-25T00:00:00Z,0
Alabama,2020-01-25T00:00:00Z,0
Alaska,2020-01-25T00:00:00Z,0
