year,month,rate
2018,M01,4.1
2018,M02,4.1
2018,M03,4.0
2018,M04,4.0
2018,M05,3.8
2018,M06,4.0
2018,M07,3.8
2018,M08,3.8
2018,M09,3.7
2018,M10,3.8
2018,M11,3.7
2018,M12,3.9
2019,M01,4.0
2019,M02,3.8
2019,M03,3.8
2019,M04,3.6
2019,M05,3.6
2019,M06,3.7
2019,M07,3.7
2019,M08,3.7
2019,M09,3.5
2019,M10,3.6
2019,M11,3.5
2019,M12,3.5
2020,M01,3.6
2020,M02,3.5
2020,M03,4.4
