"Intercept" "Black" "q_2" "q_3" "q_4" "q_5" "householdincome" "education" "beds" "obesity" "COPD" "age65" "diabetic"
"SD" 2.37988621527259e-146 0.110489449884174 0.999998746839959 0.692658757349377 0.0751630922209703 0.142584303773607 0.0243159442133987 0.0118626478910269 0.137593931796746 0.458845826449086 0.883835962799554 0.791405575009661 0.719286371940299
"TN" NA NA NA NA NA NA NA NA NA NA NA NA NA
"TX" 0 0.000789105215300755 0.988664393162432 0.311923665729068 0.381182646687296 0.124964102879119 0.668028341265623 0.658624217253516 0.00455670564090001 0.489361576746507 0.539447518538157 0.917425118819024 0.0270011525565695
"UT" NA NA NA NA NA NA NA NA NA NA NA NA NA
"VA" 0.999998945117947 0.00537297175290498 0.999999127343054 0.999999126732492 0.999999129774444 0.999999141919281 0.0358970209039625 0.134999847174766 0.191827261514714 0.0867834043925802 0.127282039297912 0.184733616562675 0.00469720537462597
"VT" NA NA NA NA NA NA NA NA NA NA NA NA NA
"WA" 0.999998279117016 0.448372504316856 0.999998607661114 0.999998649827783 0.999998637778238 0.999998633289895 0.130343603339805 0.297269200714312 0.813606409137981 0.340517147778528 0.0786260766671224 0.191014344926956 0.444146686492089
"WI" 5.45603364654732e-27 0.000671567512452715 0.252448935121709 0.422017660667182 0.397336379842475 0.877993631937694 0.298649135917148 0.793878091095827 0.0517072999836347 0.61113805858461 0.106308976974088 0.119349506372079 0.536405687532679
"WV" 2.250005980062e-05 0.597440683471229 0.0255729422100661 0.0925624687341602 0.0670136192575918 0.0668220177099866 0.93896416116556 0.64839135557873 0.708051621433288 0.0145898345016568 0.710458657292491 0.876627456952139 0.357223811840514
"WY" NA NA NA NA NA NA NA NA NA NA NA NA NA
